Title,Patent Number,Abstract,Classification,Inventors,Current Assignee,link
,,,,,,
Astronomical instrument,US3257728A,,"Classifications
 
 G01C21/02 Navigation; Navigational instruments not provided for in preceding groups by astronomical means
 View 1 more classifications",[],Herbert A Blomquist,https://patents.google.com/patent/US6340213B1/en?q=Astronomy&country=US&language=ENGLISH
,,,,,,
Astronomical educational device,US2349515A,,"Classifications
 
 G09B27/04 Star maps",[],Edward E Oberst,https://patents.google.com/patent/US3257728A/en?q=Astronomy&country=US&language=ENGLISH
,,,,,,
Mounting for astronomical binoculars,US4702450A,"An astronomical mounting for binoculars or other viewing devices such as a camera or telescope. It comprises a support mounted on one end of a parallelogram linkage so that the viewing device, when raised, will always be horizontal. The other end of the parallelogram linkage is supported on a tripod. Universal adjustment is provided to enable the viewing device to be moved about a circle in either a horizontal plane or a vertical plane. An adjustable weight is provided on the tripod end of the parallelogram linkage to counterbalance the weight of the viewing device. The device enables the viewer to lie in a comfortable position even when viewing the sky directly above.","Classifications
 
 F16M13/00 Other supports for positioning apparatus or articles; Means for steadying hand-held apparatus or articles
 View 9 more classifications",[' Robert J'],Barisa,https://patents.google.com/patent/US2349515A/en?q=Astronomy&country=US&language=ENGLISH
,,,,,,
Semi-fixed astronomical mirrors and aspherical gratings and methods for manufacturing same by elastic flexion,US4382657A,"The invention relates to astronomical mirrors or aspherical gratings which are obtained from a blank which is composed, in one piece, of a thin disc having a reflecting surface and of a cylindrical ring coaxial with the disc which is connected thereto by a semi-fixing. The ring is applied on a rigid support with which it defines a cavity in which a pressure pi is applied while the reflecting face is surfaced along a plane or spherical surface. The pressure pi is then varied, this causing a flexion of the disc.","Classifications
 
 G02B5/10 Mirrors with curved faces
 View 1 more classifications","[' Gerard R', ' Lemaitre ']",Agence National de Valorisation de la Recherche ANVAR,https://patents.google.com/patent/US4702450A/en?q=Astronomy&country=US&language=ENGLISH&page=1
,,,,,,
Instruction apparatus for astronomy,US1828057A,,"Classifications
 
 G09B27/04 Star maps",[' Joseph R LuntDennis C Haley '],Central Scientific Co,https://patents.google.com/patent/US4382657A/en?q=Astronomy&country=US&language=ENGLISH&page=1
,,,,,,
Astronomical instrument,US2754597A,,"Classifications
 
 G02B23/00 Telescopes, e.g. binoculars; Periscopes; Instruments for viewing the inside of hollow bodies; Viewfinders; Optical aiming or sighting devices",[],Edward J Sylvester,https://patents.google.com/patent/US1828057A/en?q=Astronomy&country=US&language=ENGLISH&page=1
,,,,,,
Methods and apparatus for multi-sensor astronomical imaging,US6028300A,"An imaging instrument includes plural spaced-apart photon collectors, positioned so that radiation from a remote source arrives at different times at different of the collectors. A digitizing sampler creates a time-based record of signal received at each collector. By correlating the sampled data from the different collectors, an image of the source can be constructed. Other embodiments provide optical fibers each having a first end movable within the focal point of a collector and a second end that is combined with second ends of other fibers so as to provide an imaged output.","Classifications
 
 H01J40/14 Circuit arrangements not adapted to a particular application of the tube and not otherwise provided for","[' Geoffrey B', ' RhoadsPhilip N', ' Reid ']",Pinecone Imaging Corp,https://patents.google.com/patent/US2754597A/en?q=Astronomy&country=US&language=ENGLISH&page=1
,,,,,,
Astronomical clock,US3248866A,,"Classifications
 
 G04B19/268 Clocks or watches with indicators for tides, for the phases of the moon, or the like with indicators for the phases of the moon",[],Athelstan F Spilhaus,https://patents.google.com/patent/US6028300A/en?q=Astronomy&country=US&language=ENGLISH&page=1
,,,,,,
Astronomical appliance for educational and other purposes,US1928025A,,"Classifications
 
 G09B27/04 Star maps",[],Mcewan Duncan,https://patents.google.com/patent/US3248866A/en?q=Astronomy&country=US&language=ENGLISH&page=1
,,,,,,
Interactive astronomical system and method,US6722890B2,"An interactive astronomical model includes a geocentric module, a heliocentric module, and a housing. The geocentric module has a central body configured to represent Earth. The heliocentric module has a central axis configured to represent the sun. A housing is used to couple both the geocentric module and the heliocentric module. The invention also includes a method for generating an interactive astronomical model comprising the steps of providing a geocentric module having a central body configured to represent Earth, providing a heliocentric module having a central axis configured to represent a sun; and coupling the geocentric module with the heliocentric module with a shared housing. A horizon apparatus is also disclosed.","Classifications
 
 G09B27/08 Globes",[' Martin K'],Kiel,https://patents.google.com/patent/US1928025A/en?q=Astronomy&country=US&language=ENGLISH&page=1
,,,,,,
Watch Displaying the Date and Indicating Astronomical Information,US20070223316A1,"In order to display alternately various parameters in the same aperture (46) of a dial or possibly in distinct apertures, the watch is provided with a rotating display disc (51) which includes a series (60) of numbers, representing the dates (1-31) on one part of its circumference and, on the rest of the circumference, at least one image of a celestial body, for example the moon (62) and/or the sun, and optionally other symbols (64). Over time, this image is set in different positions in the aperture, to represent the phases of the moon or the rising and setting of the sun. In an electronic watch, the display disc is preferably driven by an electric motor (54) via a large reduction gear (56).","Classifications
 
 G04C17/0066 Indicating the time optically by electric means by discs with date indication electromagnetically driven, e.g. intermittently
 View 2 more classifications",[' Jean-Jacques BornJean Laurent '],Asulab AG,https://patents.google.com/patent/US6722890B2/en?q=Astronomy&country=US&language=ENGLISH&page=1
,,,,,,
Millimeter-wave radiometer for radio-astronomy,US3417399A,,"Classifications
 
 H01Q3/16 Arrangements for changing or varying the orientation or the shape of the directional pattern of the waves radiated from an antenna or antenna system using mechanical relative movement between primary active elements and secondary devices of antennas or antenna systems for varying relative position of primary active element and a reflecting device
 View 1 more classifications",[' James E Webb '],National Aeronautics and Space Administration (NASA),https://patents.google.com/patent/US20070223316A1/en?q=Astronomy&country=US&language=ENGLISH&page=1
,,,,,,
Astronomy and celestial navigation teaching device,US2687582A,,"Classifications
 
 G09B9/52 Simulators for teaching or training purposes for teaching control of vehicles or other craft for teaching control of an outer space vehicle",[],Leon A Storz,https://patents.google.com/patent/US3417399A/en?q=Astronomy&country=US&language=ENGLISH&page=1
,,,,,,
Astronomical/astrological chart,US4251930A,"An astronomical chart and projection system for mapping celestial movement plots the longitudinal positions of planets, as measured along the ecliptic, against time in a rectilinear coordinate system with each of the planets being represented by a line on the chart, such a line being designated the ""major line"" of the planet. The major line corresponding to at least one of the planets is repeated at fixed longitudinal displacements from itself to generate harmonic reproductions, typically at 45 degree intervals. These harmonic reproductions allow a user to immediately extract aspect information between the planet whose major line is harmonically reproduced and other planets, whether or not harmonically reproduced. The longitude and time axes preferably have a common origin at respective longitude and time coordinates corresponding to the vernal equinox, thus permitting sidereal and tropical time information to be extracted from the chart by simple linear scaling of coordinates. The chart is rendered especially useful for astronomers by the provision of a two-dimensional reproduction of the stars located within a band about the ecliptic. The information is color coded in order that the different major lines and their harmonics be readily identifiable.","Classifications
 
 G09B27/00 Planetaria; Globes
 View 1 more classifications",[' John G'],Laver,https://patents.google.com/patent/US2687582A/en?q=Astronomy&country=US&language=ENGLISH&page=2
,,,,,,
Astronomical instrument,US2055148A,,"Classifications
 
 G09B27/02 Tellurions; Orreries",[],Hagner Frederick Hayes,https://patents.google.com/patent/US4251930A/en?q=Astronomy&country=US&language=ENGLISH&page=2
,,,,,,
Astronomy Camera with Real Time Image Viewing and Method of Use,US20120188369A1,An astronomy camera with a CMOS detector with non-destructive read capability displays images of a scene being captured as the image is exposed. The apparatus has a detector with non-destructive read capability which allows data to be read out without resetting the detector to provide a user with updated images as the image is being exposed. This enables users to save the images at various states of the exposure and to end the exposure at will.,"Classifications
 
 H04N5/2356 Bracketing, i.e. taking a series of images with varying exposure conditions
 View 6 more classifications",[],Jason Griesbach,https://patents.google.com/patent/US2055148A/en?q=Astronomy&country=US&language=ENGLISH&page=2
,,,,,,
Portable astronomical telescope,US7864416B2,"A portable astronomical telescope includes the cylinder body, on which three telescopic legs are hinged through a joint to form a tripod stand. The bottom of aforementioned cylinder body is fixed by means of connection element and mounted with part box. On the bottom end of this part box, a bottom cover is insert-mounted. On the upper end of the part box, limit connection elements of the connected telescopic leg are hinged. Within the aforementioned cylinder body, a guide bush is fixed and installed, inside of which telescope base is mounted. On the side of this telescope base, a guide pin is established. On the side of the guide sleeve, an L-shaped feed-through slot is established to accommodate the guide sleeve. On the tail end of the above feed-through slot, one guide pin residence slot is connected. The aforementioned telescope base is activated by the lug and mounted with bellows. This product can be used without need for separate assembly, and eliminates the need for a separate package. With small volume and light-weight features, it can hide the bellows within the cylinder body, in order to provide protection, which facilitates the product carrying and movement, particularly suitable for astronomy enthusiasts at the time of outdoor observation activities.","Classifications
 
 G02B23/06 Telescopes, e.g. binoculars; Periscopes; Instruments for viewing the inside of hollow bodies; Viewfinders; Optical aiming or sighting devices involving prisms or mirrors having a focussing action, e.g. parabolic mirror
 View 5 more classifications",[' Jianguo HuangLin LiJiandong YangWeimin Ma '],SPIM Precision Instruments Manufacturing Co Ltd,https://patents.google.com/patent/US20120188369A1/en?q=Astronomy&country=US&language=ENGLISH&page=2
,,,,,,
Astronomical chart,US531060A,,"Classifications
 
 G09B27/02 Tellurions; Orreries",[],,https://patents.google.com/patent/US7864416B2/en?q=Astronomy&country=US&language=ENGLISH&page=2
,,,,,,
Astronomy device,US1643007A,,"Classifications
 
 G09B27/02 Tellurions; Orreries",[],Evanuk Michael,https://patents.google.com/patent/US531060A/en?q=Astronomy&country=US&language=ENGLISH&page=2
,,,,,,
Low noise detectors for astronomy,US10297704B2,"Methods, systems, and apparatus that filters noise within a signal collected by a detector assembly. The detector assembly includes a first semiconductor layer of a first type configured to receive a photon. The detector assembly includes a second semiconductor layer of a second type. The second semiconductor layer is formed above the first semiconductor layer. The first semiconductor layer and the second semiconductor layer are configured to collect a signal. The detector assembly includes an interface layer including an insulator portion for filtering noise. The interface layer is formed on the second semiconductor layer. The detector assembly includes a metal contact layer formed on the interface layer. The interface layer is configured to capacitively couple the first semiconductor layer and second semiconductor layer with the metal contact layer.","Classifications
 
 H01L31/1032 Devices sensitive to infra-red, visible or ultra-violet radiation characterised by only one potential barrier or surface barrier the potential barrier being of the PN homojunction type the devices comprising active layers formed only by AIIBVI compounds, e.g. HgCdTe IR photodiodes
 View 4 more classifications",[' Eric Piquette '],Teledyne Scientific and Imaging LLC,https://patents.google.com/patent/US1643007A/en?q=Astronomy&country=US&language=ENGLISH&page=2
,,,,,,
Multipolarized vector sensor array antenna system for radio astronomy applications,US10283877B2,"The present invention generally relates to an electromagnetic field vector sensing receive antenna array system for installation and deployment on a structure. A multipolarized array of collocated antenna elements is used to provide calibrated amplitude and phase radiation patterns with monopole, dipole, and loop modes generated from crossed loops connected to a be beamformer. The invention has applications for installation and deployment on a tower, balloon, or satellite for radio frequency sensing and location of low-frequency galactic emissions. The novel receive antenna array system comprises a multipolarized vector sensor antenna array. The disclosed direction-finding vector sensor can be installed and deployed on a structure and can detect and locate radio frequency emissions from galactic sources. The key system components of the receive antenna array system consist of deployable antennas, receivers, signal processing computer, and communications link.","Classifications
 
 H01Q25/04 Multimode antennas
 View 12 more classifications","[' Alan J', ' FennFrank C', ' RobeyPeter T', ' HurstMark J', ' SilverJoseph M', "" D'Arco ""]",Massachusetts Institute of Technology,https://patents.google.com/patent/US10297704B2/en?q=Astronomy&country=US&language=ENGLISH&page=2
,,,,,,
Astronomical device,US2382643A,,"Classifications
 
 G09B27/04 Star maps",[],Jerome C Lafferty,https://patents.google.com/patent/US10283877B2/en?q=Astronomy&country=US&language=ENGLISH&page=2
,,,,,,
Astronomical device,US2498641A,,"Classifications
 
 G09B9/52 Simulators for teaching or training purposes for teaching control of vehicles or other craft for teaching control of an outer space vehicle",[],Beckwith George Malcolm,https://patents.google.com/patent/US2382643A/en?q=Astronomy&country=US&language=ENGLISH&page=2
,,,,,,
Astronomical device,US1912305A,,"Classifications
 
 G09B29/14 Local time charts",[],Phillips David,https://patents.google.com/patent/US2498641A/en?q=Astronomy&country=US&language=ENGLISH&page=3
,,,,,,
System and method for creating and conducting astronomical tours,US20010033416A1,"An intelligent telescope system independently acquires and tracks designated celestial objects with little to no knowledge of the night sky being required by a user. The telescope system hosts and runs an application routine in order to have the telescope system conduct a tour of interesting celestial objects that are visible from an observer's location. Tour programs are created by a user and stored in memory in the system's microprocessor controlled command module or, alternatively, pre-defined tour programs are downloaded from a repository, such as in Internet web site, for storage in the system's memory and subsequent use.","Classifications
 
 G02B23/16 Housings; Caps; Mountings; Supports, e.g. with counterweight",[' Kenneth BaunJohn Hoot '],Meade Instruments Corp,https://patents.google.com/patent/US1912305A/en?q=Astronomy&country=US&language=ENGLISH&page=3
,,,,,,
Improvement in astronomical clocks or cosmochronotropes,US220036A,,"Classifications
 
 G04B19/26 Clocks or watches with indicators for tides, for the phases of the moon, or the like",[],,https://patents.google.com/patent/US20010033416A1/en?q=Astronomy&country=US&language=ENGLISH&page=3
,,,,,,
Astronomical apparatus.,US766276A,,"Classifications
 
 G09B27/04 Star maps",[],Franklin H Mackenzie,https://patents.google.com/patent/US220036A/en?q=Astronomy&country=US&language=ENGLISH&page=3
,,,,,,
Astronomical device,US3024542A,,"Classifications
 
 G09B27/06 Celestial globes",[],Philip B Sharpe,https://patents.google.com/patent/US766276A/en?q=Astronomy&country=US&language=ENGLISH&page=3
,,,,,,
Interactive astronomical system and method,US6524112B1,"An interactive astronomical model includes a geocentric module, a heliocentric module, and a housing. The geocentric module has a central body configured to represent earth. The heliocentric module has a central axis configured to represent the sun. A housing is used to couple both the geocentric module and the heliocentric module. The invention also includes a method for generating an interactive astronomical model comprising the steps of providing a geocentric module having a central body configured to represent earth, providing a heliocentric module having a central axis configured to represent a sun; and coupling the geocentric module with the heliocentric module with a shared housing.","Classifications
 
 G09B27/08 Globes",[' Martin K'],Kiel,https://patents.google.com/patent/US3024542A/en?q=Astronomy&country=US&language=ENGLISH&page=3
,,,,,,
Forest fire video monitoring system and method,US9686513B2,"The invention relates to the forest video monitoring. A method and system are provided for automatically binding a video camera to the absolute coordinate system and determining changes in the video camera binding. In one aspect, the method comprises the steps of: in each of at least two predetermined time moments, aiming the video camera at an object a position of which in the absolute coordinate system centered in a point in which the video camera resides is known at said moment, and determining an orientation of the video camera in a native coordinate system of the video camera; and, based on the determined orientations of the video camera and positions of the object, calculating a rotation of the native coordinate system of the video camera in the absolute coordinate system. The calculated rotation of the video camera's native coordinate system is used to recalculate coordinates of an observed object from the video camera's native coordinate system into the absolute coordinate system. The technical result relates to the improved accuracy of locating the observed object.","Classifications
 
 H04N7/181 Closed circuit television systems, i.e. systems in which the signal is not broadcast for receiving images from a plurality of remote sources
 View 7 more classifications",[' Ivan Sergeevich ShishalovOleg Andreevich GromazinYaroslav Sergeevich SolovyevAleksandr Vladimirovich RomanenkoIvan Vasilievich Esin '],DISICON,https://patents.google.com/patent/US6524112B1/en?q=Astronomy&country=US&language=ENGLISH&page=3
,,,,,,
Apparatus for making astronomical calculations,US8885443B2,"An apparatus for making astronomical calculations includes a calculator, mechanism and/or program for determining the time for sunrise and sunset on a specified date and time at a specific longitude and latitude. The apparatus also includes a mechanism and/or program for calculating the moonrise and moonset at the aforementioned date, time and location.","Classifications
 
 G04G9/025 Visual time or date indication means by selecting desired characters out of a number of characters or by selecting indicating elements the position of which represent the time, e.g. by using multiplexing techniques provided with date indication
 View 1 more classifications",[],Rashed Farhan Sultan Marzouq,https://patents.google.com/patent/US9686513B2/en?q=Astronomy&country=US&language=ENGLISH&page=3
,,,,,,
geeaoey,US501136A,,"Classifications
 
 G09B27/02 Tellurions; Orreries",[],,https://patents.google.com/patent/US8885443B2/en?q=Astronomy&country=US&language=ENGLISH&page=3
,,,,,,
Interactive astronomical system and method,US20020182576A1,"An interactive astronomical model includes a geocentric module, a heliocentric module, and a housing. The geocentric module has a central body configured to represent earth. The heliocentric module has a central axis configured to represent the sun. A housing is used to couple both the geocentric module and the heliocentric module. The invention also includes a method for generating an interactive astronomical model comprising the steps of providing a geocentric module having a central body configured to represent earth, providing a heliocentric module having a central axis configured to represent a sun; and coupling the geocentric module with the heliocentric module with a shared housing.","Classifications
 
 G09B27/08 Globes",[],Martin Kiel,https://patents.google.com/patent/US501136A/en?q=Astronomy&country=US&language=ENGLISH&page=3
,,,,,,
Universal astronomical instrumentation control system,US10054923B1,"The universal astronomical instrumentation control system is completely based on an Open Source architecture in the server- and client-side components. The system is self-contained within a single small factor package using embedded hardware architecture. No desktop or server-side components are required. The system creates a WiFi hotspot that enables mobile/tablet/desktop devices to connect to it and control any astronomical devices attached to the unit. Therefore, no external network is required in order to operate the device. The system is not limited to canonical devices. Any device with an INDI (Instrument Neutral Distributed Interface) driver can be controlled by the unit. The system's client software is cross-platform and available on desktop, tablet, and mobile devices. The system is a consumer-level device designed for fast and easy control of commercially popular astronomical equipment.","Classifications
 
 G05B19/0425 Safety, monitoring
 View 5 more classifications","[' Jasem K', ' M']",Mutlaq,https://patents.google.com/patent/US20020182576A1/en?q=Astronomy&country=US&language=ENGLISH&page=4
,,,,,,
Astronomical optical simulator,US4213254A,An astronomical optical simulator made of a tubular body with an eyepiece at one end and a light source at the other with a slot in the tubular member to receive an opaque disk having openings distributed to simulate an array of astronomical bodies. The openings modify and pass light from the source giving the impression of an array of astronomical objects to an observer looking into the eyepiece.,"Classifications
 
 G09B27/02 Tellurions; Orreries
 View 1 more classifications",[' Thomas A'],Whiting,https://patents.google.com/patent/US10054923B1/en?q=Astronomy&country=US&language=ENGLISH&page=4
,,,,,,
Cognitive radio system,US7917110B2,"A cognitive radio system includes: a state detecting device that scans a frequency band allocated to another radio system than the cognitive radio system to detect a first use-state of the frequency band; a first server including a first gathering unit that receives first information relating to the first use-state and a second gathering unit; a second server that stores a second use-state of the frequency band allocated to the other radio system, the second server configured to provide second information relating to the second use-state to the second gathering unit; and a notifying unit that notifies a terminal device in the cognitive radio system of information of an available channel based on the first information and the second information.","Classifications
 
 H04W16/14 Spectrum sharing arrangements between different networks
 View 3 more classifications",[' Tomoya HoriguchiHiroshi YoshidaTazuko TomiokaKatsuya NoninRen Sakata '],Toshiba Corp,https://patents.google.com/patent/US4213254A/en?q=Astronomy&country=US&language=ENGLISH&page=4
,,,,,,
Method and system for two-dimensional visualization of an information taxonomy and of text documents based on topical content of the documents,US5625767A,"A method and system for aiding users in visualizing the relatedness of retrieved text documents and the topics to which they relate comprises training a classifier by semantically analyzing an initial group of manually-classified documents, positioning the classes and documents in two-dimensional space in response to semantic associations between the classes, and displaying the classes and documents. The displayed documents may be retrieved by an information storage and retrieval subsystem in any suitable manner.","Classifications
 
 G06F16/26 Visual data mining; Browsing structured data
 View 1 more classifications",[],Brian BartellRobert Clarke,https://patents.google.com/patent/US7917110B2/en?q=Astronomy&country=US&language=ENGLISH&page=4
,,,,,,
Automated generation of metadata for mining image and text data,US8145677B2,"A tangible computer readable medium encoded with instructions for automatically generating metadata, wherein said execution of said instructions by one or more processors causes said “one or more processors” to perform the steps comprising: a. creating at least one feature vector for each document in a dataset; b. extracting said one feature vector; c. recording said feature vector as a digital object; and d. augmenting metadata using said digital object to reduce the volume of said dataset, said augmenting capable of allowing a user to perform a search on said dataset.","Classifications
 
 G06K9/0063 Recognising patterns in remote scenes, e.g. aerial images, vegetation versus urban areas
 View 3 more classifications",[],Faleh Jassem Al-Shameri,https://patents.google.com/patent/US5625767A/en?q=Astronomy&country=US&language=ENGLISH&page=4
,,,,,,
4D light field cameras,US7965936B2,"A camera acquires a 4D light field of a scene. The camera includes a lens and sensor. A mask is arranged in a straight optical path between the lens and the sensor. The mask including an attenuation pattern to spatially modulate the 4D light field acquired of the scene by the sensor. The pattern has a low spatial frequency when the mask is arranged near the lens, and a high spatial frequency when the mask is arranged near the sensor.","Classifications
 
 G02B27/0075 Other optical systems; Other optical apparatus with means for altering, e.g. increasing, the depth of field or depth of focus","[' Ramesh RaskarAmit K', ' Agrawal ']",Mitsubishi Electric Research Laboratories Inc,https://patents.google.com/patent/US8145677B2/en?q=Astronomy&country=US&language=ENGLISH&page=4
,,,,,,
Multi-dimensional method and apparatus for automated language interpretation,US7403890B2,"A method and apparatus for natural language interpretation are described. The invention includes a schema and apparatus for storing, in digital, analog, or other machine-readable format, a network of propositions formed of a plurality of text and/or non-text objects, and the steps of retrieving a string of input text, and locating all associated propositions in the network for each word in the input string. Embodiments of the invention also include optimization steps for locating said propositions, and specialized structures for storing them in a ready access storage area simulating human short-term memory. The schema and steps may also include structures and processes for obtaining and adjusting the weights of said propositions to determine posterior probabilities representing the intended meaning. Embodiments of the invention also include an apparatus designed to apply an automated interpretation algorithm to automated voice response systems and portable knowledge appliance devices.","Classifications
 
 G06F17/2785 Semantic analysis
 View 3 more classifications","[' Joseph C', ' Roushar ']",KNOWLEDGENETICA Corp,https://patents.google.com/patent/US7965936B2/en?q=Astronomy&country=US&language=ENGLISH&page=4
,,,,,,
Context driven topologies,US8543573B2,"Information is analyzed and developed by creating consolidated representations of groups of data, which are associated with context information, comprising information about relationships between the groups of data, to create representations of the groups of data. The context information is embedded as symbols in descriptions of at least some of the groups of data. The symbols are used in mapping hierarchical relationships between the groups of data. Representations having commonalities are consolidated. A data network structure having network components comprising groups of data, representations and/or consolidated representations is stored. A data network structure display is created with sounds, light, forms, textures and/or colors, and is analyzed using signal processing or mathematical techniques to review context information associated with the network components without reference to groups of data in the network components. The display analysis creates new information, which is stored for retrieval by a plurality of users.","Classifications
 
 G06N5/02 Knowledge representation
 View 1 more classifications","[' Deborah L', ' MacPherson ']",Accuracy and Aesthetics,https://patents.google.com/patent/US7403890B2/en?q=Astronomy&country=US&language=ENGLISH&page=4
,,,,,,
Integrated portable biological detection system,US6403367B1,"We have performed separation of bacterial and cancer cells from peripheral human blood in microfabricated electronic chips by dielectrophoresis. The isolated cells were examined by staining the nuclei with fluorescent dye followed by laser induced fluorescence imaging. We have also released DNA and RNA from the isolated cells electronically and detected specific marker sequences by DNA amplification followed by electronic hybridization to immobilized capture probes. Efforts towards the construction of a “laboratory-on-a-chip” system are presented which involves the selection of DNA probes, dyes, reagents and prototyping of the fully integrated portable instrument.","Classifications
 
 G11C13/0019 RRAM elements whose operation depends upon chemical change comprising cells based on organic memory material comprising bio-molecules
 View 51 more classifications","[' Jing ChengLei WuMichael J', ' HellerEd SheldonJonathan DiverJames P', "" O'ConnellDan SmolkoShila JalaliDavid Willoughby ""]",Gamida for Life BV,https://patents.google.com/patent/US8543573B2/en?q=Astronomy&country=US&language=ENGLISH&page=4
,,,,,,
Signal interpretation engine,US6546378B1,"A signal interpretation engine apparatus and method are disclosed in certain presently preferred embodiment as including a computer programmed to run a plurality of modules comprising a feature expansion module, a weight table module, a consolidation module, and a map generation module. The feature expansion module contains feature operators for operating on a signal to expand the signal to form a feature map of feature segments Each feature segment corresponds to a unique representation of the signal created by a feature operator operating on the signal across an epoch. An epoch corresponds to an event occurring within a time segment. The weight table module provides a weight table having weight elements Each weight element has a weight corresponding to a feature segment of the feature map. The consolidation module provides a superposition segment by combining the feature segments of the feature map corresponding to the epoch by forming an inner product of the feature map and the weight table. The consolidation module also applies aggregators to consolidate the inner products or superposition segments into a distribution function representing an attribute over a domain reflecting a selected weight table, aggregator, and event type, corresponding to each value of the attribute. The map generation module produces an interpretation map that reflects a preferred weight table and aggregator to be applied to the signal data to characterize the event.","Classifications
 
 G01V1/282 Application of seismic models, synthetic seismograms
 View 9 more classifications",[' Daniel Reed Cook '],BRIGHT IDEAS A OF UTAH LLC LLC Bright Ideas LLC,https://patents.google.com/patent/US6546378B1/en?q=Astronomy&country=US&language=ENGLISH&page=5
,,,,,,
Terahertz imaging system and method,US6815683B2,"THz imaging apparatus and methods are provided for rapidly and effectively examining a region of interest to determine the presence of specified compositions. The apparatus includes means for generating electromagnetic radiation of a desired terahertz frequency suitable for the examination, and for rendering the radiation incident at the region of interest. Detector means are provided at a plurality of points in a plane spaced from the region of interest, for detecting the terahertz radiation reflected from or transmitted through the region. Means are provided for converting the detected terahertz radiation to an image of the region of interest from which the presence of the specified compositions are determinable.","Classifications
 
 G01S13/887 Radar or analogous systems specially adapted for specific applications for detection of concealed objects, e.g. contraband or weapons
 View 5 more classifications","[' John FedericiRobert BaratDale E', ' Gary ']",New Jersey Institute of Technology,https://patents.google.com/patent/US6546378B1/en?q=Astronomy&country=US&language=ENGLISH&page=5
,,,,,,
Photorefractive systems and methods,US5440669A,"A new type of holographic recording in photorefractive crystals is disclosed, termed orthogonal data storage, in which counterpropagating, reflection mode holograms are wavelength multiplexed to form gratings lying along a common axis. It is shown that this configuration provides substantial improvements in data storage capacity in comparison to prior art systems and that higher coupling coefficients are achieved. In consequence, not only storage of data but a wide range of other devices including wavelength selective filters, lenses and optical correlation systems are disclosed. Further, methods of writing and processing metastable images are disclosed which substantially improve the strength of the gratings that are permanently developed in the medium. These methods include advantageous use of electrical potentials and photovoltaic properties, together with different interrelationships during processing.","Classifications
 
 H01S3/16 Solid materials
 View 25 more classifications","[' George A', ' RakuljicAmnon Yariv ']",Ericsson Telecom AB Ondax Inc,https://patents.google.com/patent/US6815683B2/en?q=Astronomy&country=US&language=ENGLISH&page=5
,,,,,,
Scatter-gather: a cluster-based method and apparatus for browsing large document collections,US5442778A,"Scatter-Gather is a computer based document browsing method which operates in time proportional to a number of documents in a target corpus. The Scatter-Gather method includes: preparing an initial ordering of the corpus using, for example, an off-line computational method; determining a summary of the initial ordering of the corpus for interactive utility; and providing a further ordering of the corpus using, for example, an on-line non-deterministic method. The step of an off-line preparation of an initial ordering of a corpus is non-time-dependent, thus an accurate initial ordering is prepared. The step of determining a summary includes determining a summary for presentation to a user without scrolling on a CRT. The step of providing a further ordering includes truncated group average agglomerate clustering, merging disjointed document sets, center finding, assign-to-nearest and other refinement methods.","Classifications
 
 G06F16/355 Class or cluster creation or modification
 View 3 more classifications","[' Jan', ' O', ' PedersenDavid KargerDouglass R', ' CuttingJohn W', ' Tukey ']",Xerox Corp,https://patents.google.com/patent/US5440669A/en?q=Astronomy&country=US&language=ENGLISH&page=5
,,,,,,
Content-based filtering of multicast information,US6055364A,"The invention provides a method and system for content-based filtering of multicast information. A set of sources (S) which desire to distribute potentially large numbers of categories of differing information each associates a content descriptor (CD) with messages including information in those categories, so that a set of recipients (R) can receive information in at least some of those categories. A mapping server (M) associates a multicast address (MA) and a content mask (CM) with each content descriptor, so that network elements (N), such as routers, in the network can distribute only those messages which are of interest to recipients in multicast distribution trees for those multicast addresses. Each source generates content descriptors for each differentiable topic in a tree structured hierarchy, and obtains a multicast address and a content mask for the broadest content descriptor it is capable of distributing. Each recipient obtains the associated source, multicast address, and content mask, for each content descriptor of interest, and uses that information to join the multicast distribution tree for that information. Each network element between the source and the recipient determines what information it must forward for further distribution in response to the content descriptors, content masks, multicast addresses, and multicast distribution trees.","Classifications
 
 H04L29/12047 Directories; name-to-address mapping
 View 7 more classifications","[' Tony SpeakmanAlex G', ' TweedlySteven LinDino Farinacci ']",Cisco Technology Inc,https://patents.google.com/patent/US5442778A/en?q=Astronomy&country=US&language=ENGLISH&page=5
,,,,,,
Method and system for qualifying keywords in query strings,US8515940B2,A method and system for qualifying keyword(s) or phrase(s) to formulate a query string for submitting a search request when the query string contains one or more keywords that may have multiple meanings associated therewith. Database information containing keywords and associated meanings or forms of the keywords is maintained and a requester is prompted to identify one or more of the meanings of a keyword when building the query string. One or more advertisements pertaining to the associated meanings or forms of the keywords in the query string is presented to the requester submitting a search request.,"Classifications
 
 G06Q30/02 Marketing, e.g. market research and analysis, surveying, promotions, advertising, buyer profiling, customer management or rewards; Price estimation or determination
 View 2 more classifications",[' Scott A JonesThomas E Cooper '],ChaCha Search Inc,https://patents.google.com/patent/US6055364A/en?q=Astronomy&country=US&language=ENGLISH&page=5
,,,,,,
